0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:03 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:06 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:06 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:10 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:10 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:13 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:13 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:22 +0900] "GET /JSP_Study_MVC_M2/getBoardList.%EC%95%A0 HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:26 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:26 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:28 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:28 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:32 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:32 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:35 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:55:35 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1143
